AZURE_OPENAI_API_KEY exported (84 chars) from /home/yiminglin/api_keys/azure_cloudbank/gpt-54_1.txt
baseline=agentic_codex_qa_gpt54_all  model=gpt54  split=all_docs
questions=10  docs=59  output=/mnt/data/LSF/baseline_results/financebench/agentic_codex_qa_gpt54_all/single_cluster/all_docs
labels_file=['data/financebench/sample/single_cluster/random/sample_doc_labels.json', 'data/financebench/sample/single_cluster/random/unsampled_doc_labels.json']

  ✓ ACTIVISIONBLIZZARD_2017_10K: '4,390'
  ✗ ACTIVISIONBLIZZARD_2020_10K: '3,605'
  ✗ ADOBE_2015_10K: '1,907,231'
  ✗ ADOBE_2016_10K: '1,902,068'
  ✗ ADOBE_2017_10K: '1,881,421'
  ✗ ADOBE_2018_10K: '4,124,800'
  ✗ ADOBE_2019_10K: '988,924'
  ✓ ADOBE_2020_10K: '4,117'
  ✓ ADOBE_2021_10K: '4,123'
  ✓ ADOBE_2022_10K: '3,629'
  ✓ AMAZON_2015_10K: '8,235'
  ✓ AMAZON_2016_10K: '7,694'
  ✓ AMAZON_2017_10K: '24,743'
  ✗ AMAZON_2018_10K: '23,495'
  ✗ AMAZON_2019_10K: '23,414'
  ✗ AMAZON_2020_10K: '31,816'
  ✓ AMAZON_2022_10K: '67,150'
  ✗ AMCOR_2019_10K: '5,309.0'
  ✓ AMCOR_2021_10K: '6,186'
  ✓ AMCOR_2022_10K: '6,340'
  ✗ AMCOR_2023_10K: '0'
  ✓ AMD_2019_10K: '486'
  ✓ AMD_2020_10K: '330'
  ✗ AMD_2021_10K: '1'
  ✓ AMD_2022_10K: '2,467'
  ✗ APPLE_2015_10K: '53,463'
  ✗ APPLE_2016_10K: '75,427'
  ✗ APPLE_2017_10K: '97,207'
  ✓ APPLE_2018_10K: '93,735'
  ✓ APPLE_2019_10K: '91,807'
  ✓ APPLE_2020_10K: '98,667'
  ✓ APPLE_2021_10K: '109,106'
  ✓ APPLE_2022_10K: '98,959'
  ✓ BESTBUY_2015_10K: '1,580'
  ✓ BESTBUY_2020_10K: '1,257'
