baseline=agentic_codex_qa_txt  model=gpt54  questions=12  docs=50
output=/mnt/data/LSF/baseline_results/nopv/agentic_codex_qa_gpt54/first_50

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'Wolverine Pipe Line Company'  in=44445  lat=9.0s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'ANR Pipeline Co'  in=164641  lat=24.4s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'ANR Pipeline Company'  in=44313  lat=9.1s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'EQT Production Company'  in=110652  lat=18.6s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'ANR Pipeline Company'  in=73129  lat=10.4s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'Buckeye Partners, LP'  in=44742  lat=11.2s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'City of Richmond'  in=162434  lat=17.3s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'Kinder Morgan Liquid Terminals, LLC'  in=102146  lat=15.1s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'Buckeye Partners, LP'  in=44305  lat=8.7s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'Eastern Gas Transmission and Storage, Inc.'  in=131746  lat=16.4s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'Columbia Gas Transmission LLC'  in=79091  lat=13.7s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'Cranberry Pipeline Corporation'  in=44670  lat=8.8s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'ANR Pipeline Company'  in=44292  lat=8.0s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'Genesis Pipeline USA, LP'  in=115396  lat=12.8s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'Enmark Energy, Inc.'  in=57602  lat=9.1s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'Ferrellgas, L.P.'  in=149436  lat=14.9s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'Superior Refining Company LLC'  in=133345  lat=15.3s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'Colonial Pipeline Company'  in=90869  lat=11.2s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'WRB Refining LP'  in=89523  lat=11.5s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'Tallgrass Interstate Gas Transmission, LLC'  in=86354  lat=11.3s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'Tallgrass Powder River Gateway, LLC'  in=43937  lat=7.9s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'Tallgrass Pony Express Pipeline, LLC'  in=76498  lat=15.5s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'BOE Midstream'  in=198585  lat=21.8s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'Dakota Midstream, LLC'  in=153711  lat=25.9s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'Summit Midstream Partners, LLC'  in=87002  lat=14.6s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'Gulf South Pipeline Company, LLC'  in=72901  lat=10.1s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'Caliber North Dakota, LLC'  in=89991  lat=12.8s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'Tallgrass Powder River Gateway, LLC'  in=186174  lat=25.7s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'Rockies Express Pipeline LLC'  in=77336  lat=12.1s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'Tallgrass Powder River Gateway, LLC'  in=73401  lat=12.2s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'Tallgrass Pony Express Pipeline, LLC'  in=43806  lat=10.7s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'Continental Resources, Inc.'  in=111855  lat=21.7s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'OKTEX Pipeline Company, LLC'  in=89706  lat=10.5s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'Enbridge Energy, Limited Partnership'  in=58272  lat=7.8s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'Tallgrass Interstate Gas Transmission, LLC'  in=133159  lat=18.3s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'Tallgrass Energy, LP'  in=116133  lat=17.9s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'Tanks R Us'  in=44111  lat=7.2s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'TC Oil Operations, Inc.'  in=58031  lat=7.7s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'Colonial Pipeline Company'  in=121468  lat=13.4s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'Spire Missouri Inc. East'  in=249443  lat=33.1s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'Navajo Nation Oil and Gas'  in=94384  lat=17.8s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'Tallgrass Energy, LP'  in=238363  lat=28.3s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'Southern Star Central Gas Pipeline, Inc.'  in=87490  lat=12.4s
