baseline=agentic_codex_qa_txt  model=gpt54  questions=12  docs=50
output=/mnt/data/LSF/baseline_results/nopv/agentic_codex_qa_gpt54/second_50

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'Explorer Pipeline Co.'  in=73001  lat=11.8s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   'Spire Missouri Inc. East'  in=175673  lat=23.5s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'Southern Star Central Gas Pipeline, Inc.'  in=57885  lat=7.8s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'NuStar Pipeline Operating Partnership L.P.'  in=57840  lat=8.5s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'Coffeyville Resources Crude Transportation, LLC'  in=116030  lat=12.9s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'Coffeyville Resources Crude Transportation, LLC'  in=103422  lat=13.5s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'Enbridge Energy, L.P.'  in=58118  lat=11.1s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'Boardwalk Petrochemical Pipeline, LLC'  in=87417  lat=10.3s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'Tallgrass'  in=167777  lat=22.5s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'Boardwalk Petrochemical Pipeline, LLC'  in=89184  lat=10.7s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'Gary Climate Solutions, LLC'  in=57813  lat=8.7s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'Magellan Midstream Partners, LP'  in=57890  lat=10.2s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'Magellan Pipeline, LLC'  in=78219  lat=11.9s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'Texas Eastern Transmission, LP'  in=90832  lat=17.9s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'St Louis Pipeline Operating, LLC'  in=73204  lat=10.8s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'Pembina Cochin, LLC'  in=88136  lat=12.3s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'East Tennessee Natural Gas, LLC'  in=92718  lat=13.3s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'NuStar Pipeline Operating Partnership, L.P.'  in=58898  lat=8.3s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'Northern Natural Gas Company'  in=58324  lat=7.5s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'Northern Natural Gas Company'  in=78269  lat=11.3s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'Enbridge Pipelines (Southern Lights), L.L.C.'  in=89447  lat=13.3s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'Grayson Mill Operating, LLC'  in=43735  lat=7.4s
  ✗ 32024020NOPV_PCP PCO_06132024_(21-199489)               'Colt Connector Pipeline'  in=344970  lat=37.7s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'NGL Supply Terminal Company, LLC'  in=116214  lat=12.4s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'Flint Hills Resources, LLC'  in=114801  lat=15.4s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   'Alliance'  in=337910  lat=48.1s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'Tallgrass Energy, LP'  in=121409  lat=18.0s
  ✓ 32024036NOPV_PCP PCO_06282024_(23-264742)               'DGC'  in=227558  lat=27.5s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'Zenith Energy Terminals Joliet Holdings, LLC'  in=57853  lat=9.0s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'Tallgrass Energy, LP'  in=94644  lat=22.1s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'Pembina Cochin, LLC'  in=116272  lat=17.4s
