baseline=agentic_codex_qa_txt  model=gpt54mini  questions=12  docs=50
output=/mnt/data/LSF/baseline_results/nopv/agentic_codex_qa_gpt54mini/first_50

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'Wolverine Pipe Line Company'  in=43937  lat=82.8s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'ANR Pipeline Co.'  in=89881  lat=10.1s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'ANR Pipeline Company'  in=70643  lat=7.4s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'EQT Production Company'  in=100347  lat=9.9s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'ANR Pipeline Company'  in=43037  lat=7.6s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'Buckeye Partners, LP'  in=44871  lat=7.0s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'City of Richmond'  in=43409  lat=7.7s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'Kinder Morgan Liquid Terminals, LLC'  in=98568  lat=9.0s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'Buckeye Partners, LP'  in=42894  lat=5.1s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'Eastern Gas Transmission and Storage, Inc.'  in=70546  lat=7.8s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'Columbia Gas Transmission LLC'  in=91774  lat=12.9s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'Cranberry Pipeline Corporation'  in=56679  lat=5.3s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'ANR Pipeline Company'  in=98087  lat=13.6s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'Genesis Pipeline USA, LP'  in=99413  lat=12.8s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'Enmark Energy, Inc.'  in=70206  lat=12.9s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'Ferrellgas, L.P.'  in=44053  lat=6.0s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'Superior Refining Company LLC'  in=71501  lat=10.3s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'Colonial Pipeline Company'  in=101950  lat=14.2s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'WRB Refining LP'  in=55744  lat=5.4s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'Tallgrass Interstate Gas Transmission, LLC'  in=42160  lat=6.5s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'Tallgrass Powder River Gateway, LLC'  in=42783  lat=5.2s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'Tallgrass Pony Express Pipeline, LLC'  in=84752  lat=9.5s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'BOE Midstream'  in=74175  lat=9.7s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'Dakota Midstream, LLC'  in=152299  lat=14.8s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'Summit Midstream Partners, LLC'  in=42652  lat=5.7s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'Gulf South Pipeline Company, LLC'  in=44018  lat=5.2s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'Caliber North Dakota, LLC'  in=42312  lat=5.3s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'Tallgrass Powder River Gateway, LLC'  in=178107  lat=17.8s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'Rockies Express Pipeline LLC'  in=98773  lat=8.4s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'Tallgrass Powder River Gateway, LLC'  in=69845  lat=8.7s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'Tallgrass Pony Express Pipeline, LLC'  in=42490  lat=5.8s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'Continental Resources, Inc.'  in=70716  lat=8.9s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'OKTEX Pipeline Company, LLC'  in=99505  lat=10.0s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'Enbridge Energy, Limited Partnership'  in=55994  lat=5.3s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'Tallgrass Interstate Gas Transmission, LLC'  in=98769  lat=10.8s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'Tallgrass Energy, LP'  in=148246  lat=12.0s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'Tanks R Us'  in=70513  lat=9.1s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'TC Oil Operations, Inc.'  in=56621  lat=4.7s
