baseline=agentic_codex_qa_txt  model=gpt54mini  questions=12  docs=50
output=/mnt/data/LSF/baseline_results/nopv/agentic_codex_qa_gpt54mini/second_50

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'Explorer Pipeline Co.'  in=56066  lat=5.9s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   'Spire Missouri Inc. East'  in=84243  lat=9.7s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'Southern Star Central Gas Pipeline, Inc.'  in=57002  lat=6.7s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'NuStar Pipeline Operating Partnership L.P.'  in=55739  lat=5.5s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'Coffeyville Resources Crude Transportation, LLC'  in=56154  lat=5.0s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'Coffeyville Resources Crude Transportation, LLC'  in=43266  lat=5.7s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'Enbridge Energy, L.P.'  in=43117  lat=7.2s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'Boardwalk Petrochemical Pipeline, LLC'  in=57241  lat=6.8s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'Tallgrass'  in=124169  lat=12.8s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'Boardwalk Petrochemical Pipeline, LLC'  in=43633  lat=6.8s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'Gary Climate Solutions, LLC'  in=56994  lat=6.4s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'Magellan Midstream Partners, LP'  in=42696  lat=5.3s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'Magellan Pipeline, LLC'  in=83295  lat=8.1s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'Texas Eastern Transmission, LP'  in=172226  lat=20.9s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'St Louis Pipeline Operating, LLC'  in=42608  lat=6.8s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'Pembina Cochin, LLC'  in=70300  lat=8.2s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'East Tennessee Natural Gas, LLC'  in=90155  lat=10.2s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'NuStar Pipeline Operating Partnership, L.P.'  in=93285  lat=8.9s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'Northern Natural Gas Company'  in=56174  lat=4.6s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'Northern Natural Gas Company'  in=98219  lat=9.0s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'Enbridge Pipelines (Southern Lights), L.L.C.'  in=83425  lat=8.5s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'Grayson Mill Operating, LLC'  in=111213  lat=9.2s
